;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
43;8412971232;1687;1754933939;9651926.0;Nethercore;9743822.0;Teiko;17366;Ultras Dota Pro League  2024-25;1001833;1;57;41;True;22.0
44;8412967046;2288;1754933834;9586122.0;4Pirates;2576071.0;Yellow Submarine;18491;CIS Battle Dota 2;1001827;1;28;7;True;22.0
45;8412914521;1966;1754931303;9844320.0;Nova Divide;9844313.0;Ultra Nexus;18509;Europa Masters Cup;1001834;1;43;25;True;22.0
46;8412911829;570;1754931227;9768243.0;Night Force;8629315.0;Wiser Warriors;17233;Destiny League;1001828;1;4;24;False;22.0
47;8412910537;1931;1754931124;9651926.0;Nethercore;9743822.0;Teiko;17366;Ultras Dota Pro League  2024-25;1001833;1;59;32;True;22.0
48;8412886166;2011;1754930290;9586122.0;4Pirates;2576071.0;Yellow Submarine;18491;CIS Battle Dota 2;1001827;1;9;25;False;22.0
49;8412878425;2954;1754929740;9448938.0;大明星的铁拳;9851035.0;风骚俏寡妇;17508;互联网联赛;1001844;0;50;44;False;22.0
50;8412870867;1261;1754929383;9844320.0;Nova Divide;9844313.0;Ultra Nexus;18509;Europa Masters Cup;1001834;1;12;10;True;22.0
51;8412849982;1095;1754928516;8629315.0;Wiser Warriors;9768243.0;Night Force;17233;Destiny League;1001828;1;10;32;False;22.0
52;8412838988;1694;1754928047;9600141.0;Zero Tenacity;9664713.0;Team Lynx;17381;European Pro League  2024-2025 Season;1001818;1;54;14;True;22.0
53;8412838914;644;1754928044;9844320.0;Nova Divide;9844313.0;Ultra Nexus;18509;Europa Masters Cup;1001834;1;10;26;False;22.0
54;8412835756;2176;1754927914;9743822.0;Teiko;9651926.0;Nethercore;17366;Ultras Dota Pro League  2024-25;1001833;1;40;37;True;22.0
55;8412792722;1737;1754926354;9768243.0;Night Force;8629315.0;Wiser Warriors;17233;Destiny League;1001828;1;42;41;False;22.0
56;8412785095;2422;1754926240;2576071.0;Yellow Submarine;9586122.0;4Pirates;18491;CIS Battle Dota 2;1001827;1;24;26;False;22.0
57;8412778002;2415;1754925650;2267859.0;Dream Raiser;8638911.0;老岳父;17508;互联网联赛;1001825;0;23;59;False;22.0
58;8412742405;2901;1754924229;9851035.0;风骚俏寡妇;9499049.0;HotLiquid.你喝饱了吗;17508;互联网联赛;1001820;0;42;46;False;22.0
59;8412739947;1954;1754924444;9664713.0;Team Lynx;9600141.0;Zero Tenacity;17381;European Pro League  2024-2025 Season;1001818;1;11;39;False;22.0
60;8412734483;2224;1754923906;9381131.0;Uzumaki;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;1001792;1;61;26;True;22.0
61;8412731825;1675;1754923789;9426115.0;Dark Rebellion;8629324.0;Swift Knights;17233;Destiny League;1001796;1;29;40;False;22.0
62;8412717754;2084;1754923234;9844314.0;Team Nebula;9844318.0;Alpine Draft;18509;Europa Masters Cup;1001806;1;12;15;False;22.0
63;8412698149;2203;1754922501;9530716.0;Air Defence;9759026.0;Dominion;17366;Ultras Dota Pro League  2024-25;1001797;1;64;34;True;22.0
64;8412670978;1621;1754921564;8629324.0;Swift Knights;9426115.0;Dark Rebellion;17233;Destiny League;1001796;1;34;54;False;22.0
65;8412658829;2613;1754921054;9408199.0;Super maid;9751050.0;GeeGeeGee;17508;互联网联赛;1001809;0;39;34;True;22.0
66;8412656519;1965;1754921108;9849678.0;Kalmychata;5014799.0;Nemiga Gaming;18491;CIS Battle Dota 2;1001767;1;14;52;False;22.0
67;8412651136;1329;1754920768;9844314.0;Team Nebula;9844318.0;Alpine Draft;18509;Europa Masters Cup;1001806;1;19;19;False;22.0
68;8412649788;2012;1754920718;9381131.0;Uzumaki;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;1001792;1;19;41;False;22.0
69;8412645127;2491;1754920602;9499049.0;HotLiquid.你喝饱了吗;2520299.0;Play All-night Gaming;17508;互联网联赛;1001805;0;41;17;True;22.0
70;8412612629;2258;1754919324;9758040.0;Runa Team;9600141.0;Zero Tenacity;17381;European Pro League  2024-2025 Season;1001776;1;26;45;False;22.0
71;8412611998;1725;1754919455;9759026.0;Dominion;9530716.0;Air Defence;17366;Ultras Dota Pro League  2024-25;1001797;1;13;41;False;22.0
72;8412610041;1472;1754919269;9426115.0;Dark Rebellion;8629324.0;Swift Knights;17233;Destiny League;1001796;1;17;34;False;22.0
73;8412591617;1333;1754918605;8831040.0;Ghost Sheep;9381131.0;Uzumaki;17366;Ultras Dota Pro League  2024-25;1001792;1;3;12;False;22.0
74;8412581706;544;1754918131;;;;;18043;DOTA2-Ticu梦幻联赛;0;0;1;12;False;22.0
75;8412578557;2203;1754918075;9743852.0;Cai Ji TEAM;9855042.0;火车王;18043;DOTA2-Ticu梦幻联赛;1001791;3;18;52;False;22.0
76;8412574289;2002;1754917882;9751050.0;GeeGeeGee;9408199.0;Super maid;17508;互联网联赛;1001787;0;21;45;False;22.0
77;8412561823;2582;1754917374;9855039.0;快乐一刀;9150028.0;Drawing Monster;18043;DOTA2-Ticu梦幻联赛;1001783;0;42;46;False;22.0
78;8412559285;2311;1754917286;9849678.0;Kalmychata;5014799.0;Nemiga Gaming;18491;CIS Battle Dota 2;1001767;1;22;58;False;22.0
79;8412558021;2256;1754917195;;;9849814.0;山东好男人;18043;DOTA2-Ticu梦幻联赛;0;0;43;12;True;22.0
80;8412536101;1714;1754916326;9767998.0;Nova Pulse;9425656.0;LSG;17233;Destiny League;1001769;1;25;49;False;22.0
81;8412505815;2274;1754915075;8831040.0;Ghost Sheep;9530716.0;Air Defence;17366;Ultras Dota Pro League  2024-25;1000701;1;44;53;False;22.0
82;8412504420;2044;1754915342;9600141.0;Zero Tenacity;9758040.0;Runa Team;17381;European Pro League  2024-2025 Season;1001776;1;33;17;True;22.0
83;8412502080;1039;1754914847;9759026.0;Dominion;9381131.0;Uzumaki;17366;Ultras Dota Pro League  2024-25;1001764;1;11;44;False;22.0
84;8412495810;1682;1754914566;;;1665758.0;羊村;18043;DOTA2-Ticu梦幻联赛;0;0;16;48;False;22.0
85;8412490654;2591;1754914369;2455812.0;TU HUI;9855042.0;火车王;18043;DOTA2-Ticu梦幻联赛;1001775;3;27;40;False;22.0
86;8412488064;1804;1754914247;9736532.0;PSG.LGD;9781830.0;幽灵军团;18043;DOTA2-Ticu梦幻联赛;1001772;3;37;25;True;22.0
87;8412479005;1958;1754913820;9425656.0;LSG;9767998.0;Nova Pulse;17233;Destiny League;1001769;1;36;31;True;22.0
88;8412477826;2567;1754913939;9150028.0;Drawing Monster;9855039.0;快乐一刀;18043;DOTA2-Ticu梦幻联赛;1001770;0;26;59;False;22.0
89;8412466875;2206;1754913633;9849678.0;Kalmychata;5014799.0;Nemiga Gaming;18491;CIS Battle Dota 2;1001767;1;35;18;True;22.0
90;8412430576;1869;1754911639;9586122.0;4Pirates;9844911.0;ODIUM;17381;European Pro League  2024-2025 Season;1001754;1;33;20;True;22.0
91;8412429053;1210;1754912334;9381131.0;Uzumaki;9759026.0;Dominion;17366;Ultras Dota Pro League  2024-25;1001764;1;33;16;True;22.0
92;8412417862;3131;1754910708;8831040.0;Ghost Sheep;9828921.0;Air Defence;17366;Ultras Dota Pro League  2024-25;1001761;1;50;48;True;22.0
93;8412390065;1663;1754909150;9768002.0;Lunar Vibes;8629315.0;Wiser Warriors;17233;Destiny League;1001757;1;29;18;True;22.0
94;8412366364;1912;1754907749;9828921.0;Air Defence;8831040.0;Ghost Sheep;17366;Ultras Dota Pro League  2024-25;1001761;1;45;32;True;22.0
95;8412360501;1238;1754907385;8864178.0;Marvelous Warriors;9330485.0;BulletProofs;16325;Ancients League;1001753;1;16;29;False;22.0
96;8412350519;1843;1754906740;8629315.0;Wiser Warriors;9768002.0;Lunar Vibes;17233;Destiny League;1001757;1;36;46;False;22.0
97;8412348725;3429;1754906598;9586122.0;4Pirates;9844911.0;ODIUM;17381;European Pro League  2024-2025 Season;1001754;1;46;44;False;22.0
98;8412342140;2790;1754906416;9759026.0;Dominion;9593609.0;Nethercore;17366;Ultras Dota Pro League  2024-25;1001755;1;32;62;False;22.0
99;8412339818;1858;1754906027;5014799.0;Nemiga Gaming;9814008.0;eSpoiled;18491;CIS Battle Dota 2;1001751;1;32;20;True;22.0
